,chemicalFormula Clean,index,Band gap values Clean,Reliability
330,Rb1Cl1,694.0,8.29,1.0
331,Rb1F1,693.0,10.4,1.0
332,Rb1I1,708.0,5.83,1.0
333,Rb2Te1,707.0,4.5,1.0
334,Rb3Sb1,703.0,1.0,1.0
335,Re1O3,1225.0,2.3,1.0
336,Re1S2,1227.0,1.1,1.0
337,Re1Se2,1228.0,0.99,1.0
338,Re1Si2,1226.0,0.12,1.0
339,Rh1S3,772.0,1.5,1.0
340,Rh1Se2,773.0,0.6,1.0
341,Rh1Se3,774.0,0.7,1.0
342,Rh2S3,771.0,0.8,1.0
343,Ru1As2,766.0,0.8,1.0
344,Ru1P2,764.0,1.0,1.0
345,Ru1S2,765.0,1.8,1.0
346,Ru1Sb2,768.0,0.3,1.0
347,Ru1Se2,767.0,1.0,1.0
348,Ru1Te2,769.0,0.25,1.0
349,S,223.0,3.82,1.0
350,Sb,1014.0,0.1,1.0
351,Sb0.605As0.395,1008.0,0.009,1.0
352,Sb1I3,1019.0,2.22,1.0
353,Sb1Si1,997.0,1.9,1.0
354,Sb2O3,994.0,3.31,1.0
355,Sb2S3,999.0,1.7,1.0
356,Sb2Se3,1010.0,1.2,1.0
357,Sb2Te3,1016.0,0.3,1.0
358,Sc1N1,279.0,2.6,1.0
359,Sc2O3,280.0,6.0,1.0
360,Sc2S3,284.0,2.0,1.0
361,Se,673.0,1.7266666666666666,1.0
362,Se1Te1,689.0,0.64,1.0
363,Se3Te1,690.0,1.87,1.0
364,SeS,671.0,1.9,1.0
365,Si,199.0,1.12,1.0
366,Si1As1,207.0,1.45,1.0
367,Si1C1,185.5,2.5300000000000002,1.0
368,Si1O2,195.0,11.0,1.0
369,Si1P2,206.0,1.89,1.0
370,Si1Se2,211.0,1.72,1.0
371,Si1Sn1,213.0,0.59,1.0
372,Si1Te2,215.5,2.015,1.0
373,Si2Te3,214.0,1.98,1.0
374,Si3N4,192.0,5.0,1.0
375,Sm1As1,1131.0,1.03,1.0
376,Sm1B6,1123.0,4.9,1.0
377,Sm1P1,1126.0,1.09,1.0
378,Sm1S1,1127.0,0.22,1.0
379,Sm1Sb1,1135.0,0.59,1.0
380,Sm1Se1,1132.0,0.46,1.0
381,Sm1Te1,1136.0,0.62,1.0
382,Sm2O3,1124.0,1.17,1.0
